Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,C_470pF,
C2,0805,1,C_2.2uF,
"C3, C5, C6",0805,3,C_0.1uF,
C4,0805,1,C_4.7uF,
"D1, D2, D4",DIO_VCUT0714A-HD1-GS08 (1),3,D_TVS_ESDALC5-1BM2_SOD882,
D3,SOD2513X120N,1,D_Schottky,
D5,LED_SML-LXFM0603SIC-TR,1,LED_2.1V_20mA_0603,
J1,JST_B2B-PH-K-S(LF)(SN),1,B2B-PH-K-S(LF)(SN),
J2,GCT_USB3090-XX-X_REVE,1,USB_B_Micro,
"Q1, Q2",TRANS_SS8050-G,2,SS8050-G,
R1,0805,1,R_US_10K_0603,
"R10, R2, R3, R8, R9",0805,5,R_US_10K,
R4,0805,1,R_US_120Ohm_0603,
R5,0805,1,R_US_22.1K,
R6,0805,1,R_US_47.5K,
R7,0805,1,R_US_2K,
SW1,SW_TS04-66-55-BK-160-SMT,1,SW_Push,
"SW2, SW3",SW_TL1100CF160Q,2,SW_Push_Dual,
U1,SOT-23-5,1,MIC5219-3.3YM5,
U2,ESP32-WROOM-32E,1,ESP32-WROOM-E,
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
