Designator,Mid X,Mid Y,Rotation,Layer
C1,147.32,-62.992,0.0,top
C2,147.32,-60.198,0.0,top
C3,138.176,-37.592,90.0,top
C4,152.3155,-62.992,0.0,top
C5,152.4,-60.198,0.0,top
C6,134.874,-64.77,180.0,top
D1,135.89,-79.756,0.0,top
D2,141.986,-76.454,0.0,top
D3,135.636,-76.962,0.0,top
D4,139.446,-77.47,0.0,top
D5,138.938,-59.436,270.0,top
J1,131.106,-79.502,90.0,top
J2,142.24,-82.296,0.0,top
Q1,152.908,-69.9535,180.0,top
Q2,152.908,-74.0175,180.0,top
R1,138.176,-41.91,90.0,top
R10,129.54,-64.77,0.0,top
R2,156.21,-74.0175,90.0,top
R3,156.21,-69.9535,270.0,top
R4,138.938,-64.77,90.0,top
R5,139.954,-73.66,90.0,top
R6,141.732,-70.104,90.0,top
R7,147.32,-66.04,0.0,top
R8,142.24,-73.66,270.0,top
R9,129.54,-46.482,0.0,top
SW1,131.318,-70.104,180.0,top
SW2,129.4075,-37.084,0.0,top
SW3,129.4075,-55.88,0.0,top
U1,142.748,-61.976,180.0,top
U2,150.254,-45.364,0.0,top
U3,146.812,-72.136,0.0,top
